id,date,comment,,,,,,,,,
雨***5,2018-6-7 06:13,用着可以，给妈妈买的，手机拿着在床上看不累手，家里好几部小米手机。,,,,,,,,,
宇***妞,2018-6-10 14:31,等使用追加,,,,,,,,,
俞***峰,2018-6-18 22:14,很不错 妈妈用着挺好 就是声音还不够大,,,,,,,,,
鱼***觞,2018-6-20 17:35,客服的态度不好，把我的问题转了多次,,,,,,,,,
鱼***门,2018-6-8 12:12,我用红米还蛮好。就给我爸买了。刚好特价。还不错,,,,,,,,,
余***行,2018-6-8 23:19,非常好的手机，用小米手机好几年了。,,,,,,,,,
余***5,2018-6-7 13:37,正在使用中，没发现什么大问题！很喜欢！价格合适大小合适,,,,,,,,,
有***完,2018-6-9 11:33,质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物  给老爸买的,,,,,,,,
有***道,2018-6-16 02:33,包装不太好  现在连手机壳都不送了,,,,,,,,,
友***厂,2018-6-11 16:12,实惠又好用,,,,,,,,,
悠***叶,2018-6-16 22:24,这个是给妈妈买的，暂时没有，因为要换手机卡，以前在旗舰店买过红米手机还不错，这个应该也不会有问题吧,,,,,,,,,
悠***心,2018-6-21 15:09,不错，买的第三个小米手机了，家人很喜欢！,,,,,,,,,
忧***l,2018-6-15 19:17,很好，挺流畅的，老爸觉得可以！,,,,,,,,,
颖***得,2018-5-24 22:05,发货超快，昨晚下单今天中午就收到货了。。。超满意&hellip;&hellip;,,,,,,,,,
樱***2,2018-6-8 15:29,支持小米 不错的公司 以后会有很大发展,,,,,,,,,
英***6,2018-6-14 00:13,再用一些日子再说吧,,,,,,,,,
隐***儿,2018-6-11 08:20,挺好的，性价比非常高了～,,,,,,,,,
引***义,2018-6-7 06:52,给老人用的，挺好的，操作流畅，外观漂亮，希望能耐用。,,,,,,,,,
尹***哥,2018-6-11 13:30,说实话这手机的性价比是没谁了！给老爸买的，他很喜欢！就是wifi不如去年给老妈买的4x信号好！总体还是好的！全家小米，最近我有打算上手米8了，支小米！Are you OK？,,,,,,,,,
银***淘,2018-6-12 08:11,买给妈妈用的，顺丰快递到货很快。手机用起来比之前的红米2好用。目前一切正常 希望经久耐用。,,,,,,,,,
茵***9,2018-6-18 21:15,作为备用机可以,,,,,,,,,
奕***s,2018-6-17 21:57,挺好的，这我麻麻买的。,,,,,,,,,
忆***？,2018-6-17 22:15,手机很方便，时潮流，物有所值，功能强大,,,,,,,,,
以***新,2018-6-8 21:24,solo了客厅看电视啊！我现在在学校呢啊，？我现在去洗澡睡觉吧._嗄勾起回忆了吧，！，，_????,,,,,,,,,
遗***1,2018-6-17 21:36,给爸爸的父亲节礼物，很庆幸也是在父亲节这天收到，谢谢店家。没有看到实物，爸爸说挺好的，暂时没有发现问题，希望使用过程中顺畅,,,,,,,,,
祎***箱,2018-6-11 21:43,卖家给我寄了邮政小包，隔壁省寄过来，一周才到。所以我给卖家全一星????,,,,,,,,,
依***1,2018-6-18 21:22,据说还可以，快递正常，推荐。,,,,,,,,,
衣***痕,2018-6-12 08:58,给老爸买的 好用,,,,,,,,,
伊***衣,2018-6-11 09:53,一款正宗的备用机，屏小轻薄低调，不容易引起小偷们的注意&hellip;,,,,,,,,,
伊***尼,2018-6-10 07:31,暂时用着还行,,,,,,,,,
一***受,2018-6-18 18:29,希望后期不发热吧，,,,,,,,,,
一***人,2018-6-14 20:31,比较满意，适合父母用，始终如一的小米,,,,,,,,,
一***奇,2018-6-4 11:19,手感很好，速度也不赖。特意用了几天，待机还是一大亮点，给我父亲用的，声音也清晰响亮，他很喜欢。性价比超赞！！,,,,,,,,,
一***年,2018-6-18 21:02,很好用，家里人现在用的基本上都是小米了~,,,,,,,,,
一***吹,2018-6-5 15:07,物流快，买给麻麻用，划算,,,,,,,,,
一***h,2018-6-21 17:48,买给老妈的^_^便宜好用哈哈哈哈哈 她还不会用,,,,,,,,,
一***5,2018-6-4 21:56,性价比超高  很不错的手机   这已经是第五个小米了   不大不小刚刚合适,,,,,,,,,
一***0,2018-6-12 20:00,发货舒服太慢了，京东一天就到了,,,,,,,,,
夜***眼,2018-6-20 22:07,买给老爸的。顺风的速度惊艳到我了，开机体验很好。,,,,,,,,,
夜***刹,2018-6-10 20:14,挺不错的，性价比也比较高,,,,,,,,,
夜***8,2018-6-7 22:11,我是一个忠实的米粉，已经用了四个小米手机了，这次又给爸爸和妈妈一人买了一个，真的是很好用，用了很长时间了一点都不卡，以前都是让别人带买，这次不带麻烦别人了，买回来一看不错，跟描述的一样，是正品，喜欢的亲们赶快下手吧，欢迎你们加入米粉！！！,,,,,,,,,
叶***4,2018-5-23 10:18,给爸爸买的 老年人用还是不错的，字体超大?几个常用的软件完全够用,,,,,,,,,
要***i,2018-6-19 13:05,这不是欺骗顾客吗，小米什么时候也变得这样了,,,,,,,,,
妖***华,2018-6-12 23:03,老用户了，家里人用的都是小米，好评,,,,,,,,,
妖***7,2018-6-14 14:09,挺好的，给老年人买的，老年人用还是可以的,,,,,,,,,
洋***2,2018-6-9 14:15,还好,,,,,,,,,
杨***z,2018-6-19 13:24,触屏不灵敏。其他还好，,,,,,,,,,
杨***9,2018-4-1 20:00,此用户没有填写评论!,,,,,,,,,
杨***0,2018-6-5 19:51,给爸爸买的，颜色很喜欢,,,,,,,,,
阳***木,2018-6-6 15:51,不错，挺好的，给朋友买的，一直都用小米系列手机。,,,,,,,,,
阳***o,2018-6-17 09:24,第n次购买了，一如既往地好，好评,,,,,,,,,
扬***行,2018-6-10 22:35,除了屏小点没啥问题，上网也挺顺畅。老公出去干活不能用好手机，老是摔碎屏。一个月买了两个小米6x一个红米5a，啥都不想说了，好评奉上,,,,,,,,,
彦***2,2018-6-19 08:34,很好，买给奶奶用的，她很喜欢！,,,,,,,,,
颜***3,2018-6-11 21:04,小米手机的忠实粉丝，性价比很高的手机。,,,,,,,,,
炎***a,2018-6-11 19:22,性价比超高的一款手机，大爱.,,,,,,,,,
严***8,2018-6-18 23:14,米粉卡一直都没有 客服一直说七天七天 都快一个月了 半点消息没有 不指望了 客服只会拖 根本不会解决问题,,,,,,,,,
鄢***0,2018-6-13 09:52,发货好快啊，手机挺好用的，性价比高,,,,,,,,,
烟***盼,2018-6-17 09:14,用了十天  给妈妈买的 试用了下感觉不错 3+32g够用 没出现卡顿问题,,,,,,,,,
雅***9,2018-6-6 21:24,东西不错，给老爸买的，很好用的。,,,,,,,,,
薰***函,2018-6-14 12:41,手机给爸爸买的，听好用的，他很喜欢,,,,,,,,,
雪***盈,2018-6-6 15:29,用了一段时间了，没什么问题，给老人看店收款用的，之前来买过小米5，用着也挺好的，送的电话卡还给上门服务，很周到，有需要还会再来的～,,,,,,,,,
薛***忠,2018-6-8 13:17,还行啦，给老爸买的，还能当做遥控器，老爸很满意,,,,,,,,,
薛***呢,2018-6-17 09:51,给父亲买的,,,,,,,,,
萱***3,2018-6-17 11:58,用了几天了，挺好的，下回换手机还买小米的,,,,,,,,,
轩***妍,2018-6-17 14:17,全家都用小米，好，已经买很多次了，好评好评非常好，，好评好评，非常好，好评非常好，已经买很多次非常好，已经买很多次了，好评好评了，好评好评非常好，已经买很多次了，好评好评,,,,,,,,,
许***许,2018-6-20 15:04,不错哦，物美价廉&hellip;,,,,,,,,,
许***1,2018-6-7 12:20,已经买了2部了，给爸妈用，操作很方便，小米经济好用。,,,,,,,,,
徐***欢,2018-6-6 21:30,这次618速度杠杠的上午拍的下午就到了，是帮朋友买的，朋友对手机要求不高所以完全够用，另外这次618很合算,,,,,,,,,
徐***5,2018-6-20 13:34,收到，开机好慢！慢慢适应吧！,,,,,,,,,
徐***2,2018-6-17 17:43,很不错，家里人很喜欢！小米很超值,,,,,,,,,
须***买,2018-6-9 11:45,一直用小米都挺好  这次有点小插曲不过换新了  希望不会再出问题吧,,,,,,,,,
修***娃,2018-6-12 06:30,一直信任和使用的品牌手机，不错。,,,,,,,,,
修***殇,2018-6-3 16:30,目前一切都好，发货神速度当天下午下单第二天早上就到了，不错不错，小米手机还是很人性化的，就是没有耳机有点可惜，总体来说这个价位很不错了,,,,,,,,,
熊***妈,2018-6-11 18:13,649买的  32G  浏览网页 发发微信  足够,,,,,,,,,
姓***聊,2018-6-18 15:27,老妈用的不错,,,,,,,,,
信***8,2018-6-17 19:55,还行吧 用了一天感觉还不错  给我爸买的  他一般都是上上微信  斗斗地主 听听音乐   这个肯定够用的了,,,,,,,,,
鑫***的,2018-6-12 09:31,此用户没有填写评论!,,,,,,,,,
馨***印,2018-5-29 20:26,不错，价格挺便宜的，给老妈买的就当做老年机使了，装了简单的一些应用，如果内存能够更大，就更完美了，不过妈妈也很满意，下次还会支持小米。。。。。。。,,,,,,,,,
新***际,2018-6-21 18:34,比普通山寨机强得多,,,,,,,,,
心***韵,2018-6-14 10:34,买给老妈的，用着看看,,,,,,,,,
心***美,2018-6-12 15:24,质量非常好,,,,,,,,,
心***好,2018-6-19 19:00,买给老爸的，他很喜欢,,,,,,,,,
心***4,2018-6-7 10:38,给老婆婆用不错，网速还行，到货快，下次还买这家,,,,,,,,,
蟹***妹,2018-6-13 14:12,什么都挺好的老人用着也喜欢 但是附加的Sim卡赠送恭维不起 一周了也不发货等我去问才说要实名认证 认证完过一天了还没发货 虽然是附加赠送项如果细节做不好还不如不出这个 最后自己买了张卡给老人用更快了 有待改善,,,,,,,,,
邂***0,2018-6-12 17:47,几百块钱的手机用着挺好,,,,,,,,,
谢***士,2018-6-14 21:06,宝贝收到了，试用了一下运行速度很快，不错！,,,,,,,,,
谢***4,2018-6-15 08:05,手机是不错，介绍页面下边说送米粉卡没有送，差评,,,,,,,,,
笑***岳,2018-6-9 12:25,顺丰非常满意，送到楼上，没有让我们家的大肚子下去拿，给你101分,,,,,,,,,
筱***灰,2018-6-17 10:51,给老爸买的，还不错。,,,,,,,,,
晓***倪,2018-6-20 20:24,还可以吧！给老人用的,,,,,,,,,
小***熊,2018-6-15 09:39,买了还没用，这个价格还可以吧,,,,,,,,,
小***潇,2018-6-20 18:11,挺满意的，不过电量用得挺快,,,,,,,,,
小***骚,2018-6-12 21:42,宝贝收到了，给妈妈买的，挺棒的，就是物流不给力，用了一个多星期才到的。机子各方面都挺好的。满意，第三次买了好评！,,,,,,,,,
小***钱,2018-6-18 10:48,很可以，很好用，这个价值了,,,,,,,,,
小***铺,2018-6-11 14:46,还没用 目前正常,,,,,,,,,
小***哦,2018-6-15 08:05,质量杠杠的！给老爸老妈买的！,,,,,,,,,
小***喵,2018-6-7 19:48,实惠又好用 妈妈很喜欢,,,,,,,,,
小***跟,2018-6-20 09:34,性价比高。好评！,,,,,,,,,
小***哥,2018-6-21 14:40,很不错 妈妈很喜欢,,,,,,,,,
